Date,Open,High,Low,Last,Close,Volume,Turnover
4/16/14,59.790001,60.189999,57.740002,59.720001,59.720001,78774000,0.033021537
4/17/14,59.299999,60.580002,58.720001,58.939999,58.939999,88040000,0.036905783
4/21/14,59.459999,61.240002,59.150002,61.240002,61.240002,60364000,0.025304188
4/22/14,62.650002,63.439999,62.220001,63.029999,63.029999,60631000,0.025416112
4/23/14,63.450001,63.48,61.259998,61.360001,61.360001,95908700,0.04020429
4/24/14,63.599998,63.650002,59.77,60.869999,60.869999,138769000,0.058171043
4/25/14,59.970001,60.009998,57.57,57.709999,57.709999,92502000,0.038776224
4/28/14,58.049999,58.310001,54.66,56.139999,56.139999,107758000,0.045171438
4/29/14,56.09,58.279999,55.84,58.150002,58.150002,75557000,0.031672992
4/30/14,57.580002,59.849998,57.16,59.779999,59.779999,76093000,0.03189768
5/1/14,60.43,62.279999,60.209999,61.150002,61.150002,82429000,0.034553689
5/2/14,61.299999,61.889999,60.18,60.459999,60.459999,54189000,0.022715669
5/5/14,59.669998,61.349998,59.18,61.220001,61.220001,46057000,0.019306788
5/6/14,60.98,61.150002,58.490002,58.529999,58.529999,55901000,0.023433328
5/7/14,58.77,59.299999,56.259998,57.389999,57.389999,78587000,0.032943148
5/8/14,57.23,58.82,56.5,56.759998,56.759998,61251000,0.025676012
5/9/14,56.849998,57.650002,56.380001,57.240002,57.240002,52584000,0.022042863
5/12/14,57.98,59.900002,57.98,59.830002,59.830002,48575000,0.020362317
5/13/14,59.66,60.889999,59.509998,59.830002,59.830002,48525000,0.020341358
5/14/14,59.529999,60.450001,58.950001,59.23,59.23,47429000,0.019881922
5/15/14,59.259998,59.380001,57.52,57.919998,57.919998,56814000,0.023816051
5/16/14,58.310001,58.450001,57.310001,58.02,58.02,47933000,0.020093195
5/19/14,57.889999,59.560001,57.57,59.209999,59.209999,43034000,0.018039567
5/20/14,59.5,60.189999,58.18,58.560001,58.560001,53931000,0.022607517
5/21/14,58.560001,60.5,58.25,60.490002,60.490002,58992000,0.024729054
5/22/14,60.939999,61.48,60.400002,60.52,60.52,54200000,0.02272028
5/23/14,60.41,61.450001,60.150002,61.349998,61.349998,38294000,0.01605259
5/27/14,61.619999,63.509998,61.57,63.48,63.48,55682000,0.023341524
5/28/14,63.389999,64.139999,62.619999,63.509998,63.509998,47795000,0.020035346
5/29/14,63.84,64.300003,63.509998,63.830002,63.830002,42700000,0.017899556
5/30/14,63.950001,64.169998,62.560001,63.299999,63.299999,45253500,0.018969966
6/2/14,63.23,63.59,62.049999,63.080002,63.080002,35996000,0.015089284
6/3/14,62.619999,63.419998,62.32,62.869999,62.869999,32217000,0.013505152
6/4/14,62.450001,63.59,62.07,63.34,63.34,36514000,0.015306426
6/5/14,63.66,64.360001,62.82,63.189999,63.189999,47352000,0.019849644
6/6/14,63.369999,63.48,62.150002,62.5,62.5,42442000,0.017791404
6/9/14,62.400002,63.34,61.790001,62.880001,62.880001,37617000,0.015768796
6/10/14,63.529999,65.82,63.5,65.769997,65.769997,69338000,0.029066029
6/11/14,65.32,65.800003,64.900002,65.779999,65.779999,44242000,0.018545952
6/12/14,65.849998,66.470001,64.059998,64.290001,64.290001,55730000,0.023361646
6/13/14,64.699997,64.970001,63.830002,64.5,64.5,29419000,0.012332249
6/16/14,64.160004,64.879997,63.75,64.190002,64.190002,31046000,0.013014277
6/17/14,64.099998,64.879997,63.93,64.400002,64.400002,27715000,0.011617944
6/18/14,64.489998,65.75,64.050003,65.599998,65.599998,35570000,0.014910708
6/19/14,65.459999,65.580002,64.209999,64.339996,64.339996,34245000,0.014355276
6/20/14,64.459999,64.809998,63.349998,64.5,64.5,46466000,0.019478238
6/23/14,64.32,65.660004,64.220001,65.370003,65.370003,34560000,0.014487322
6/24/14,65.360001,67.169998,65.269997,65.720001,65.720001,57335000,0.024034451
6/25/14,65.580002,67.480003,65.57,67.440002,67.440002,44308000,0.018573619
6/26/14,68,68,66.900002,67.129997,67.129997,47714000,0.020001392
6/27/14,67.309998,67.699997,66.839996,67.599998,67.599998,46461000,0.019476142
6/30/14,67.459999,67.919998,67.129997,67.290001,67.290001,27102800,0.011361314
7/1/14,67.580002,68.440002,67.389999,68.059998,68.059998,33243000,0.013935245
7/2/14,68.040001,68.300003,65.790001,66.449997,66.449997,41895000,0.017562106
7/3/14,66.860001,67,65.760002,66.290001,66.290001,25203200,0.010565014
7/7/14,66.300003,66.57,65.120003,65.290001,65.290001,28745000,0.012049713
7/8/14,65.059998,65.559998,62.209999,62.759998,62.759998,68926000,0.028893321
7/9/14,63.41,65.120003,63.150002,64.970001,64.970001,51432000,0.021559953
7/10/14,63.310001,65.339996,63.049999,64.870003,64.870003,44422000,0.018621407
7/11/14,65.279999,66.589996,64.790001,66.339996,66.339996,39212000,0.01643741
7/14/14,67.129997,68.169998,66.900002,67.900002,67.900002,38537000,0.016154454
7/15/14,67.959999,68.089996,66.260002,67.169998,67.169998,44213200,0.01853388
7/16/14,67.540001,67.940002,67.07,67.660004,67.660004,29541600,0.012383642
7/17/14,67.029999,67.849998,66.040001,66.410004,66.410004,38188000,0.016008156
7/18/14,66.800003,68.459999,66.160004,68.419998,68.419998,42456000,0.017797273
7/21/14,68.809998,69.959999,68.5,69.400002,69.400002,49539000,0.02076642
7/22/14,69.760002,69.769997,68.610001,69.269997,69.269997,40398000,0.016934573
7/23/14,69.739998,71.330002,69.610001,71.290001,71.290001,78435000,0.032879431
7/24/14,75.959999,76.739998,74.510002,74.980003,74.980003,124168000,0.0520504
7/25/14,74.989998,75.669998,74.660004,75.190002,75.190002,45917000,0.019248101
7/28/14,75.169998,75.5,73.849998,74.919998,74.919998,41725000,0.017490843
7/29/14,74.720001,74.919998,73.419998,73.709999,73.709999,41324000,0.017322746
7/30/14,74.209999,75.190002,74.129997,74.68,74.68,36853000,0.015448533
7/31/14,74,74.169998,72.440002,72.650002,72.650002,43992000,0.018441154
8/1/14,72.220001,73.220001,71.550003,72.360001,72.360001,43535000,0.018249583
8/4/14,72.360001,73.879997,72.360001,73.510002,73.510002,30777000,0.012901514
8/5/14,73.199997,73.589996,72.18,72.690002,72.690002,34986000,0.014665899
8/6/14,72.019997,73.720001,71.790001,72.470001,72.470001,30986000,0.012989125
8/7/14,73,74,72.699997,73.169998,73.169998,38141000,0.015988454
8/8/14,73.400002,73.43,72.559998,73.059998,73.059998,27202000,0.011402898
8/11/14,73.459999,73.910004,73.059998,73.440002,73.440002,24591000,0.010308384
8/12/14,73.089996,73.330002,72.220001,72.830002,72.830002,27419000,0.011493863
8/13/14,73.120003,74.25,73.050003,73.769997,73.769997,29266000,0.012268113
8/14/14,73.970001,74.379997,73.690002,74.300003,74.300003,22207000,0.009309027
